short_name,full_name,lon_W,lat,type,P(H)_past,P(H)_lake_formation,P(H)_present,P(H)_near_future,P(H)_future
Freeman,Freeman Lacus,211.1,73.6,lake,0.3992,0.4298,0.4702,0.4693,0.6734
Muggel,Müggel Lacus,203.5,84.44,lake,0.4653,0.4889,0.5490,0.5481,0.6439
Koitere,Koitere Lacus,36.14,79.4,lake,0.4093,0.4417,0.4890,0.4881,0.5520
Ontario,Ontario Lacus,179.0,-72.0,lake,0.3272,0.3684,0.3898,0.3889,0.6631
Rwegura,Rwegura Lacus,105.2,71.5,lake,0.4404,0.4703,0.5230,0.5221,0.6437
Mackay,Mackay Lacus,97.53,78.32,lake,0.3544,0.3924,0.4200,0.4191,0.5937
Towada,Towada Lacus,244.2,71.4,lake,0.4905,0.5162,0.5733,0.5724,0.7036
Neagh,Neagh Lacus,32.16,81.11,lake,0.3937,0.4172,0.4586,0.4577,0.5700
Bolsena,Bolsena Lacus,10.28,75.75,lake,0.3540,0.3728,0.4168,0.4159,0.4497
Logtak,Logtak Lacus,226.1,70.8,lake,0.4483,0.4765,0.5295,0.5286,0.6826
Arala,Arala Lacus,124.9,78.1,lake,0.4130,0.4449,0.4870,0.4861,0.6615
Uvs,Uvs Lacus,245.7,69.6,lake,0.4371,0.4668,0.5159,0.5150,0.7133
Waikare,Waikare Lacus,126.0,81.6,lake,0.3443,0.3799,0.4044,0.4035,0.5810
Ligeia E,Ligeia E shore,82.0,79.0,lake,0.3349,0.3821,0.3983,0.3974,0.6473
Selk,Selk crater,199.0,7.0,lander,0.2454,0.2263,0.2093,0.2084,0.4074
Huygens,Huygens site,192.3,-10.6,lander,0.2142,0.2322,0.2444,0.2435,0.4073
Belet,Belet dunes,250.0,5.0,other,0.1847,0.1993,0.2113,0.2104,0.4217
Shangri-La,Shangri-La dunes,155.0,-5.0,other,0.1779,0.1994,0.1920,0.1911,0.3824
Xanadu,Xanadu,100.0,-5.0,other,0.2233,0.2351,0.2468,0.2459,0.5100
